asv_id	FP.GR18286	FP.GR18059	FP.GR18262	FP.GR18061	FP.GR18100	FP.GR18097	FP.GR18066	FP.GR18077	M1	M9	FP.GR18300	FP.GR18064	FP.GR18086	FP.GR18060	FP.GR18249	FP.GR18079	FP.GR18068	FP.GR18052	FP.GR18078	M2	M10	KQZ2468_2	FP.GR18093	FP.GR18099	FP.GR18260	FP.GR18258	FP.GR18259	FP.GR18072	FP.GR18085	FP.GR18065	FP.GR18083	M3	M11	FP.GR18070	FP.GR18245	FP.GR18294	FP.GR18090	FP.GR18295	FP.GR18261	FP.GR18282	FP.GR18275	FP.GR18246	M4	M12	Plant004013	FP.GR18089	FP.GR18095	FP.GR18088	FP.GR18067	FP.GR18062	FP.GR18250	FP.GR18074	FP.GR18055	FP.GR18287	M5	FP.GR18296	FP.GR18284	FP.GR18087	FP.GR18063	FP.GR18272	FP.GR18069	FP.GR18053	FP.GR18082	FP.GR18056	FP.GR18264	M6	Plant007038	FP.GR18051	FP.GR18071	FP.GR18247	FP.GR18273	FP.GR18057	FP.GR18298	FP.GR18076	FP.GR18283	FP.GR18288	M7	FP.GR18073	FP.GR18080	FP.GR18054	FP.GR18252	FP.GR18075	FP.GR18096	FP.GR18081	FP.GR18098	FP.GR18094	M8	Plant006076
Zotu212	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	82	0	5	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2315	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu196	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	2	0	1	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	9	14	1	0	0	4	0	34	6	0	0	0	0	68	2	23	0	1	0	0	0	0	20	0	0	0	0	0	0
Zotu458	0	9	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2001	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu813	0	5	0	0	26	0	3	663	0	0	1	1	17	1	28	32	25	2	2	1	0	308	12	0	0	0	3	0	371	17	4	0	0	0	10	0	39	0	23	1	0	229	0	0	2	11	0	32	0	104	13	122	11	15	0	13	1	39	2	0	65	0	569	20	18	0	148	23	0	0	5	6	1	23	0	10	0	2	0	153	0	97	11	271	71	12	1	3
Zotu53	0	5	2	23	64	0	0	117	0	0	0	0	18	9	9	0	13	1	2	0	0	24	0	2	1	3	0	0	22	70	17	1	0	23	10	0	5	11	18	1	0	14	0	0	1	0	0	7	0	20	1	6	1	160	0	0	0	39	12	6	19	0	254	5	7	0	22	1	0	8	0	16	0	0	2	16	0	2	0	9	0	20	1	38	88	7	0	0
Zotu5278	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu6485	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2417	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
Zotu370	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	18	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	2	13	5	0	0	0	0	0	0	5	0	34	0	0	0	0
Zotu265	0	2	1	0	16	0	0	7	0	0	2	0	0	0	1	0	6	0	0	0	0	10	0	0	0	0	0	0	5	15	6	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	6	0	27	7	2	0	11	0	0	0	0	0	0	0	0	3	10	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	0	12	15	1	0	0
Zotu652	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1147	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	8	0	0
Zotu2098	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu128	0	1	0	0	0	0	0	0	0	0	0	0	0	6	1	0	41	11	0	0	0	1	7	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	1	0	1	0	2	200	0	18	0	0	0	0	62	1	0	0	0	18	0	0	0	1	0	0	0	0	0	3	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu186	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	23	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	8	0	13	0	0	0	0	0	0	0	17	0	0	1	2	0	35	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu655	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	4	0	0	0	0	0	0	14	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	11	0	0	0	0
Zotu41	0	1	8	1	1	1	1481	0	1	1	0	0	0	0	0	0	4	1	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	1	10	0	0	17	0	199	0	0	0	0	0	0	0	0	15	0	0	0
