	NC_pcr003	NC_pcr001	NC_pcr002
Zotu539	0	0	0
Zotu841	0	1	0
Zotu475	0	0	0
Zotu905	0	0	0
Zotu145	0	0	0
Zotu846	0	0	0
Zotu768	0	0	0
Zotu157	0	0	0
Zotu41	0	0	0
Zotu802	0	0	0
Zotu835	0	0	0
Zotu192	0	0	0
Zotu99	0	0	0
Zotu246	0	1	0
Zotu175	0	0	0
Zotu86	0	0	0
Zotu101	0	0	0
Zotu257	0	0	0
Zotu1115	0	0	0
Zotu191	0	0	0
Zotu849	0	0	0
Zotu259	0	0	0
Zotu606	0	0	0
Zotu169	0	0	0
Zotu651	0	0	0
Zotu346	0	0	0
Zotu200	0	0	0
Zotu72	0	0	0
Zotu732	0	0	0
Zotu326	0	0	0
Zotu81	0	0	0
Zotu353	0	3	0
Zotu244	0	0	0
Zotu173	0	0	0
Zotu126	0	0	0
Zotu736	0	0	0
Zotu319	0	0	0
Zotu522	0	0	0
Zotu44	0	0	0
Zotu1037	0	0	0
Zotu368	0	0	0
Zotu97	0	0	0
Zotu611	0	0	0
Zotu457	0	0	0
Zotu280	0	0	0
Zotu382	0	0	0
Zotu292	0	0	0
Zotu596	0	0	0
Zotu658	0	0	0
Zotu224	0	0	0
Zotu130	0	0	0
Zotu557	0	0	0
Zotu604	0	0	0
Zotu327	0	0	0
Zotu881	0	0	0
Zotu225	0	0	0
Zotu209	0	0	0
Zotu555	0	0	0
Zotu674	0	0	0
Zotu52	0	0	0
Zotu27	0	1	0
Zotu775	0	0	0
Zotu251	0	0	0
Zotu139	0	0	0
Zotu964	0	0	0
Zotu166	0	0	0
Zotu236	0	0	0
Zotu1067	0	0	0
Zotu501	0	0	0
Zotu197	0	0	0
Zotu691	0	0	0
Zotu706	0	0	0
Zotu599	0	0	0
Zotu538	0	0	0
Zotu532	0	0	0
Zotu613	0	0	0
Zotu281	0	0	0
Zotu804	0	0	0
Zotu1070	0	0	0
Zotu708	0	0	0
Zotu530	1	0	0
Zotu1100	0	0	0
Zotu1101	0	0	0
Zotu1085	0	0	0
Zotu602	0	0	0
Zotu135	0	0	0
Zotu71	0	0	0
Zotu310	0	0	0
Zotu20	0	0	0
Zotu778	0	0	0
Zotu391	0	0	0
Zotu464	0	0	0
Zotu698	0	0	0
Zotu76	0	0	1
Zotu581	0	0	0
Zotu193	0	0	0
Zotu113	0	0	0
Zotu799	0	0	0
Zotu800	0	0	0
Zotu797	0	0	0
Zotu535	0	0	0
Zotu73	0	0	0
Zotu1086	0	0	0
Zotu254	0	0	0
Zotu220	0	0	0
Zotu208	0	0	0
Zotu991	0	0	0
Zotu776	0	0	0
Zotu410	0	0	0
Zotu276	0	0	0
Zotu537	0	0	0
Zotu582	0	0	0
Zotu304	0	0	0
Zotu598	0	0	0
Zotu43	0	0	0
Zotu226	0	0	0
Zotu183	0	0	0
Zotu345	1	0	0
Zotu585	0	0	0
Zotu229	0	0	0
Zotu87	0	1	0
Zotu689	0	0	0
Zotu735	0	0	0
Zotu734	0	0	0
Zotu1098	0	0	0
Zotu1084	0	0	0
Zotu235	0	0	0
Zotu494	0	0	0
Zotu807	0	0	0
Zotu1099	0	0	0
Zotu219	0	0	0
Zotu356	0	0	0
Zotu85	0	0	0
Zotu419	0	0	0
Zotu692	0	0	0
Zotu934	0	0	0
Zotu1093	0	0	0
Zotu811	0	0	0
Zotu760	0	0	0
Zotu1096	0	0	0
Zotu944	0	0	0
Zotu680	0	0	0
Zotu1094	0	0	0
Zotu266	0	0	0
Zotu473	0	0	0
Zotu943	0	0	0
Zotu699	0	0	0
Zotu430	0	0	0
Zotu616	0	0	0
Zotu466	0	0	0
Zotu808	0	0	0
Zotu425	0	0	0
Zotu813	0	0	0
Zotu1091	0	0	0
Zotu331	0	0	0
Zotu687	0	0	0
Zotu492	0	0	0
Zotu148	0	0	0
Zotu39	1	0	1
Zotu32	0	0	1
Zotu60	0	0	1
Zotu264	0	0	0
Zotu336	0	0	0
Zotu196	0	0	0
Zotu947	0	0	0
Zotu125	0	1	0
Zotu380	0	0	0
Zotu105	0	0	0
Zotu937	0	0	0
Zotu779	0	0	0
Zotu814	0	0	0
Zotu780	0	0	0
Zotu42	0	0	1
Zotu688	0	0	0
Zotu405	0	0	0
Zotu401	0	0	0
Zotu165	0	0	0
Zotu201	0	0	0
Zotu545	0	0	0
Zotu301	0	0	0
Zotu258	0	0	0
Zotu269	0	0	0
Zotu149	1	0	0
Zotu379	0	0	0
Zotu103	0	0	1
Zotu171	0	0	0
Zotu278	0	0	0
Zotu622	0	0	0
Zotu78	0	0	0
Zotu172	0	0	0
