	NC_pcr003	NC_pcr001	NC_pcr002
Zotu897	0	0	0
Zotu370	0	0	0
Zotu481	0	0	0
Zotu132	0	84	0
Zotu784	0	0	0
Zotu242	0	0	3
Zotu785	0	0	0
Zotu678	0	0	0
Zotu664	0	0	0
Zotu782	0	0	0
Zotu402	0	0	0
Zotu588	0	0	0
Zotu1071	0	0	0
Zotu603	0	0	1
Zotu437	0	0	0
Zotu398	0	0	0
Zotu1026	0	0	0
Zotu621	0	0	0
Zotu521	0	0	0
Zotu1005	0	0	0
Zotu998	0	0	0
Zotu999	0	0	0
Zotu974	0	0	0
Zotu987	0	0	0
Zotu485	0	0	0
Zotu637	0	0	0
Zotu520	0	0	0
Zotu738	0	0	0
Zotu527	0	0	0
Zotu1119	0	0	0
Zotu921	0	0	0
Zotu774	0	0	0
Zotu925	0	0	0
Zotu762	0	0	0
Zotu422	0	0	0
Zotu761	0	0	0
Zotu245	0	0	0
Zotu918	0	0	0
Zotu840	0	0	0
Zotu893	0	0	0
Zotu541	0	0	0
Zotu771	0	0	0
Zotu930	0	0	0
Zotu825	0	0	0
