	NC_kit1	NC_kit2
Zotu5460	0	0
Zotu234	0	0
Zotu1301	0	0
Zotu273	0	0
Zotu2924	0	0
Zotu1310	0	0
Zotu3958	0	0
Zotu1609	0	0
Zotu5052	0	0
Zotu454	0	0
Zotu756	0	0
Zotu367	0	0
Zotu153	0	0
Zotu2366	0	0
Zotu709	0	0
Zotu17	0	0
Zotu376	0	0
Zotu594	0	0
Zotu1724	0	0
Zotu965	0	0
Zotu1587	0	0
Zotu382	0	0
Zotu374	0	0
Zotu258	0	0
Zotu3922	0	0
Zotu1440	0	0
Zotu151	0	0
Zotu1584	0	0
Zotu40	0	0
Zotu4261	0	0
Zotu836	0	0
Zotu1559	0	0
Zotu2232	0	0
Zotu59	0	0
Zotu130	0	0
Zotu1275	0	0
Zotu4224	0	0
Zotu2615	0	0
Zotu737	0	0
Zotu976	0	0
Zotu3221	0	0
Zotu2184	0	0
Zotu674	0	0
Zotu1274	0	0
Zotu260	0	0
Zotu486	0	0
Zotu1128	0	0
Zotu875	0	0
Zotu2454	0	0
Zotu1560	0	0
Zotu807	0	0
Zotu1660	0	0
Zotu1064	0	0
Zotu4907	0	0
Zotu692	0	0
Zotu4846	0	0
Zotu565	0	0
Zotu1909	0	0
Zotu269	0	0
Zotu1015	0	0
Zotu3463	0	0
Zotu285	0	0
Zotu2537	0	0
Zotu812	0	0
Zotu2041	0	0
Zotu420	0	0
Zotu1506	0	0
Zotu835	0	0
Zotu1699	0	0
Zotu4418	0	0
Zotu1513	0	0
Zotu4437	0	0
Zotu311	0	0
Zotu762	0	0
Zotu245	1	0
Zotu68	0	0
Zotu878	0	0
Zotu3936	0	0
Zotu4161	0	0
Zotu990	0	0
Zotu580	0	0
Zotu673	1	0
Zotu766	0	0
Zotu818	0	0
Zotu2181	0	0
Zotu842	0	0
Zotu1376	0	0
Zotu3272	0	0
Zotu5807	0	0
Zotu4073	0	0
Zotu1045	0	0
Zotu962	0	0
Zotu4614	0	0
Zotu206	0	0
Zotu1672	0	0
Zotu704	0	0
Zotu284	0	1
Zotu50	0	2
Zotu4870	0	0
Zotu6329	0	0
Zotu1434	0	0
Zotu167	0	0
Zotu2287	0	0
Zotu608	0	0
Zotu1447	0	0
Zotu666	0	0
Zotu659	0	0
Zotu782	0	0
Zotu2364	0	0
Zotu676	0	0
Zotu618	0	0
Zotu2120	0	0
Zotu3239	0	0
Zotu956	0	0
Zotu524	0	0
Zotu1483	0	0
Zotu334	0	0
Zotu955	0	0
Zotu4379	0	0
Zotu2394	0	0
Zotu134	0	0
Zotu519	0	0
Zotu3756	0	0
Zotu992	0	0
Zotu2140	0	0
Zotu2575	0	0
Zotu625	0	0
Zotu1887	0	0
Zotu643	0	0
Zotu561	0	0
Zotu1596	0	0
Zotu2794	0	0
Zotu560	0	0
Zotu2053	0	0
Zotu77	0	0
Zotu3831	0	0
Zotu2468	0	0
Zotu1123	0	0
Zotu307	0	0
Zotu1842	0	0
Zotu2771	0	0
Zotu2251	0	0
Zotu2028	0	0
Zotu1635	1	0
Zotu1883	0	0
Zotu859	0	0
Zotu3093	0	0
Zotu1884	0	0
Zotu4761	0	0
Zotu1437	0	0
Zotu248	0	0
Zotu3851	0	0
Zotu5394	0	0
Zotu3764	0	0
Zotu174	0	0
Zotu1052	0	0
Zotu5397	0	0
Zotu1686	0	0
Zotu2833	0	0
Zotu1441	0	0
Zotu573	0	0
Zotu3789	0	0
Zotu1158	0	0
Zotu5770	0	0
Zotu4918	0	0
Zotu841	0	0
Zotu5768	0	0
Zotu4897	0	0
Zotu1647	0	0
Zotu1493	0	0
Zotu5710	0	0
Zotu3396	0	0
Zotu4856	0	0
Zotu2724	0	0
Zotu1754	0	0
Zotu1308	0	0
Zotu4807	0	0
Zotu2029	0	0
Zotu697	0	0
Zotu5714	0	0
Zotu2193	0	0
Zotu2824	0	0
Zotu1262	0	0
Zotu913	0	0
Zotu5755	0	0
Zotu5751	0	0
Zotu645	0	0
Zotu3427	0	0
Zotu3345	0	0
Zotu2722	0	0
Zotu767	0	0
Zotu2262	0	0
Zotu3914	0	0
Zotu2538	0	0
Zotu5771	0	0
Zotu897	0	0
Zotu3395	0	0
Zotu575	0	0
Zotu3428	0	0
Zotu133	0	0
Zotu525	0	0
Zotu22	0	0
Zotu5773	0	0
Zotu851	0	0
Zotu4102	0	0
Zotu5745	0	0
Zotu2241	0	0
Zotu808	0	0
Zotu4579	0	0
Zotu2539	0	0
Zotu33	0	7
Zotu388	0	0
Zotu621	0	0
Zotu2405	0	0
Zotu957	0	0
Zotu148	0	0
Zotu5777	0	0
Zotu1065	0	0
Zotu2269	0	0
Zotu4871	0	0
Zotu4032	0	0
Zotu2430	0	0
Zotu283	0	0
Zotu881	0	0
Zotu3775	0	0
Zotu1445	0	0
Zotu1106	0	0
Zotu5760	0	0
Zotu4634	0	0
Zotu294	0	0
Zotu3886	0	0
Zotu5748	0	0
Zotu2347	0	0
Zotu2010	0	0
Zotu1438	0	0
Zotu4127	0	0
Zotu4120	0	0
Zotu1260	0	0
Zotu4146	0	0
Zotu4141	0	0
Zotu1789	0	0
Zotu1218	0	0
Zotu5783	0	0
Zotu559	0	0
Zotu647	0	0
Zotu5189	0	0
Zotu5791	0	0
Zotu4637	0	0
Zotu1224	0	0
Zotu193	0	0
Zotu494	0	0
Zotu1740	0	0
Zotu4111	0	0
Zotu4583	0	0
Zotu3986	0	0
Zotu677	0	0
Zotu70	0	0
Zotu1170	0	0
Zotu2891	0	0
Zotu869	0	0
Zotu3719	0	0
Zotu1868	0	0
Zotu1088	0	0
Zotu3307	0	0
Zotu4337	0	0
Zotu2463	0	0
Zotu3287	0	0
Zotu2719	0	0
Zotu819	0	0
Zotu5517	0	0
Zotu3667	0	0
Zotu88	1	0
Zotu4841	0	0
Zotu1095	0	0
Zotu896	0	0
Zotu1700	0	0
Zotu238	1	0
Zotu4291	0	0
Zotu1109	0	0
Zotu3441	0	0
Zotu161	0	0
Zotu5437	0	0
Zotu468	0	0
Zotu3009	0	0
Zotu5350	0	0
Zotu428	0	0
Zotu865	0	0
Zotu3467	0	0
Zotu3069	0	0
Zotu4071	0	0
Zotu701	0	0
Zotu3114	0	0
Zotu3057	0	0
Zotu5657	0	0
Zotu3737	0	0
Zotu4341	0	0
Zotu2138	0	0
Zotu1744	0	0
Zotu5598	0	0
Zotu1246	0	0
Zotu155	0	0
Zotu1111	0	0
Zotu271	0	0
Zotu3985	0	0
Zotu455	0	0
Zotu1787	0	0
Zotu4403	0	0
Zotu546	0	0
Zotu2085	0	0
Zotu744	0	0
Zotu742	0	0
Zotu518	0	0
Zotu1613	0	0
Zotu912	0	0
Zotu3680	0	0
Zotu2425	0	0
Zotu3697	0	0
Zotu1688	0	0
Zotu1794	0	0
Zotu512	0	0
Zotu2354	0	0
Zotu2822	0	0
Zotu3208	0	0
Zotu403	0	0
Zotu2599	0	0
Zotu3169	0	0
Zotu4179	0	0
Zotu811	0	0
Zotu1335	0	0
Zotu1503	0	0
Zotu2218	0	0
Zotu5698	0	0
Zotu251	0	0
Zotu1670	0	0
Zotu601	0	0
Zotu4172	0	0
Zotu1572	0	0
Zotu5680	0	0
Zotu5678	0	0
Zotu940	0	0
Zotu5681	0	0
Zotu1021	0	0
Zotu1394	0	0
Zotu831	0	0
Zotu3202	0	0
Zotu5105	0	0
Zotu5594	0	0
Zotu1169	0	0
Zotu3968	0	0
Zotu1549	0	0
Zotu5670	0	0
Zotu5669	0	0
Zotu1302	0	0
Zotu10	0	8
Zotu630	0	0
Zotu5078	0	0
Zotu2151	0	0
Zotu687	0	0
Zotu215	34	0
Zotu3991	0	0
Zotu820	0	0
Zotu5636	0	0
Zotu4131	0	0
Zotu3628	0	0
Zotu2104	0	0
Zotu5638	0	0
Zotu280	0	0
Zotu4135	0	0
Zotu5649	0	0
Zotu396	0	0
Zotu4151	0	0
Zotu822	0	0
Zotu3330	0	0
Zotu467	0	0
Zotu5284	0	0
Zotu3589	0	0
Zotu849	0	0
Zotu589	0	0
Zotu5179	0	0
Zotu738	0	0
Zotu1385	0	0
Zotu1518	0	0
Zotu2159	0	0
Zotu3179	0	0
Zotu2371	0	0
Zotu3192	0	0
Zotu2552	0	0
Zotu4247	0	0
Zotu1432	0	0
Zotu894	0	0
Zotu5646	0	0
Zotu1166	0	0
Zotu5645	0	0
Zotu1388	0	0
Zotu2101	0	0
Zotu143	0	0
Zotu2515	0	0
Zotu5845	0	0
Zotu203	0	0
Zotu815	0	0
Zotu3131	0	0
Zotu116	0	0
Zotu669	0	0
Zotu996	0	0
Zotu57	0	0
Zotu3150	0	0
Zotu297	0	0
Zotu696	0	0
Zotu1873	0	0
Zotu114	0	0
Zotu3551	0	0
Zotu5220	0	0
Zotu3119	0	0
Zotu1476	0	0
Zotu1469	0	0
Zotu4397	0	0
Zotu1529	0	0
Zotu5606	0	0
Zotu1244	0	0
Zotu5246	0	0
Zotu1185	0	0
Zotu730	0	0
Zotu2292	0	0
Zotu1424	0	0
Zotu3207	0	0
Zotu2289	0	0
Zotu3206	0	0
Zotu3205	0	0
Zotu3204	0	0
Zotu5601	0	0
Zotu679	0	0
Zotu1209	0	0
Zotu1205	0	0
Zotu556	0	0
Zotu547	0	0
Zotu208	0	0
Zotu531	0	0
Zotu3149	0	0
Zotu5014	0	0
Zotu4321	0	0
Zotu2164	0	0
Zotu191	0	0
Zotu3508	0	0
Zotu1393	0	0
Zotu4392	0	0
Zotu4993	0	0
Zotu393	0	0
Zotu276	0	0
Zotu200	0	0
Zotu14	218	2
Zotu129	0	0
Zotu3610	0	0
Zotu52	0	0
Zotu4072	0	0
Zotu671	0	0
Zotu19	0	510
Zotu422	0	0
Zotu424	0	0
Zotu2490	0	0
Zotu256	205	0
Zotu122	1	0
Zotu950	1	0
Zotu389	2	0
Zotu502	1	0
Zotu1781	2	0
Zotu1524	1	0
Zotu319	1	0
Zotu335	1	0
Zotu504	1	0
Zotu3468	1	0
Zotu56	1	0
Zotu109	0	0
Zotu1083	0	0
Zotu441	0	0
Zotu4415	0	0
Zotu5367	0	0
Zotu1664	0	0
Zotu1134	0	0
Zotu333	0	0
Zotu1164	0	0
Zotu363	0	0
Zotu552	0	0
Zotu5554	0	0
Zotu98	0	0
Zotu493	0	0
Zotu593	0	0
Zotu213	0	0
Zotu448	0	0
Zotu799	0	0
Zotu788	0	0
Zotu4495	0	0
Zotu1225	0	0
Zotu291	0	0
Zotu5095	0	0
Zotu2044	0	0
Zotu1748	0	0
Zotu1226	0	0
Zotu490	0	0
Zotu1705	0	0
Zotu2665	0	0
Zotu278	0	0
Zotu915	0	0
Zotu5096	0	0
Zotu341	0	0
Zotu404	0	0
Zotu207	0	0
Zotu356	0	0
Zotu649	0	0
Zotu2980	0	0
Zotu1261	0	0
Zotu511	0	0
Zotu1264	0	0
Zotu3650	0	0
Zotu1058	0	0
Zotu1709	0	0
Zotu4958	0	0
Zotu5431	0	0
Zotu2027	0	0
Zotu204	0	0
Zotu4954	0	0
Zotu1027	0	0
Zotu746	0	0
Zotu599	0	0
Zotu1692	0	0
Zotu5420	0	0
Zotu2635	0	0
Zotu3499	0	0
Zotu5112	0	0
Zotu439	0	0
Zotu3669	0	0
Zotu2907	0	0
Zotu5425	0	0
Zotu2227	0	0
Zotu110	0	0
Zotu2927	0	0
Zotu1368	0	0
Zotu5325	0	0
Zotu4296	0	0
Zotu1103	0	0
Zotu228	0	0
Zotu3433	0	0
Zotu162	0	0
Zotu3689	0	0
Zotu840	0	0
Zotu1487	0	0
Zotu2864	0	0
Zotu5321	0	0
Zotu2626	0	0
Zotu4276	0	0
Zotu3676	0	0
Zotu2942	0	0
Zotu91	0	0
Zotu274	0	0
Zotu646	0	0
Zotu452	0	0
Zotu834	0	0
Zotu5343	0	0
Zotu354	0	0
Zotu93	0	0
Zotu1981	0	0
Zotu1344	0	0
Zotu1421	0	0
Zotu1818	0	0
Zotu48	0	0
Zotu381	0	0
Zotu3659	0	0
Zotu120	0	0
Zotu1120	0	0
Zotu1002	0	0
Zotu1673	0	0
Zotu550	0	0
Zotu4074	0	0
Zotu4038	0	0
Zotu3015	0	0
Zotu665	0	0
Zotu4450	0	0
Zotu604	0	0
Zotu3288	0	0
Zotu4477	0	0
Zotu980	0	0
Zotu5455	0	0
Zotu2226	0	0
Zotu4419	0	0
Zotu5161	0	0
Zotu3539	0	0
Zotu3526	0	0
Zotu4499	0	0
Zotu1318	0	0
Zotu171	0	0
Zotu2606	0	0
Zotu2561	0	0
Zotu809	0	0
Zotu1378	0	0
Zotu736	0	0
Zotu4596	0	0
Zotu3086	0	0
Zotu526	0	0
Zotu3261	0	0
Zotu357	0	0
Zotu4575	0	0
Zotu4473	0	0
Zotu63	0	0
Zotu222	0	0
Zotu839	0	0
Zotu2126	0	0
Zotu934	0	0
Zotu691	0	0
Zotu1851	0	0
Zotu421	0	0
Zotu729	0	0
Zotu2783	0	0
Zotu4711	0	0
Zotu1030	0	0
Zotu2940	0	0
Zotu889	0	0
Zotu317	0	0
Zotu4580	0	0
Zotu371	0	0
Zotu3741	0	0
Zotu1289	0	0
Zotu4381	0	0
Zotu159	0	1
Zotu1474	0	0
Zotu1017	0	0
Zotu610	0	0
Zotu983	0	0
Zotu991	0	0
Zotu1314	0	0
Zotu1531	0	0
Zotu4365	0	0
Zotu4047	0	0
Zotu2214	0	0
Zotu1031	0	0
Zotu4377	0	0
Zotu1313	0	0
Zotu289	0	0
Zotu814	0	0
Zotu681	0	0
Zotu5564	0	0
Zotu967	0	0
Zotu81	0	0
Zotu316	0	0
Zotu1882	0	0
Zotu540	0	0
Zotu2065	0	0
Zotu277	0	0
Zotu2207	0	0
Zotu2358	0	0
Zotu5561	0	0
Zotu435	0	0
Zotu352	0	0
Zotu1210	0	0
Zotu1207	0	0
Zotu287	0	0
Zotu5565	0	0
Zotu4554	0	0
Zotu241	0	0
Zotu2447	0	0
Zotu745	0	0
Zotu1886	0	0
Zotu1409	0	0
Zotu582	0	0
Zotu1038	0	0
Zotu1488	0	0
Zotu4578	0	0
Zotu5547	0	0
Zotu2080	0	0
Zotu2741	0	0
Zotu2809	0	0
Zotu3024	0	0
Zotu5546	0	0
Zotu3034	0	0
Zotu3303	0	0
Zotu4330	0	0
Zotu1452	0	0
Zotu570	0	0
Zotu3019	0	0
Zotu1044	0	0
Zotu4594	0	0
Zotu2296	0	0
Zotu801	0	0
Zotu4609	0	0
Zotu5562	0	0
Zotu5522	0	0
Zotu3301	0	0
Zotu2437	0	0
Zotu1600	0	0
Zotu178	0	0
Zotu727	0	0
Zotu2295	0	0
Zotu631	0	0
Zotu3550	0	0
Zotu3548	0	0
Zotu1814	0	1
Zotu5559	0	0
Zotu3555	0	0
Zotu5558	0	0
Zotu1121	0	0
Zotu741	0	0
Zotu4301	0	0
Zotu121	0	0
Zotu4652	0	0
Zotu977	0	0
Zotu5563	0	0
Zotu2875	0	0
Zotu1477	0	0
Zotu2424	0	0
Zotu4269	0	0
Zotu720	0	0
Zotu3573	0	0
Zotu2026	0	0
Zotu2754	0	0
Zotu1680	0	0
Zotu1681	0	0
Zotu4667	0	0
Zotu5832	0	0
Zotu5821	0	0
Zotu2497	0	0
Zotu195	0	0
Zotu5831	0	0
Zotu1117	0	0
Zotu4370	0	0
Zotu457	0	0
Zotu3716	0	0
Zotu5858	0	0
Zotu378	0	0
Zotu2392	0	0
Zotu1583	0	0
Zotu5859	0	0
Zotu979	0	0
Zotu780	0	0
Zotu5842	0	0
Zotu5834	0	0
Zotu5838	0	0
Zotu2413	0	0
Zotu3111	0	0
Zotu2189	0	0
Zotu3276	0	0
Zotu2768	0	0
Zotu5854	0	0
Zotu4222	0	0
Zotu824	0	0
Zotu4908	0	0
Zotu1961	0	0
Zotu1239	0	0
Zotu2024	0	0
Zotu3713	0	0
Zotu4788	0	0
Zotu3706	0	0
Zotu4786	0	0
Zotu721	0	0
Zotu3358	0	0
Zotu2787	0	0
Zotu1422	0	0
Zotu1785	0	0
Zotu1750	0	0
Zotu999	0	0
Zotu3722	0	0
Zotu2443	0	0
Zotu2073	0	0
Zotu2321	0	0
Zotu2439	0	0
Zotu4924	0	0
Zotu2077	0	0
Zotu132	0	0
