	NC_kit1	NC_kit2
Zotu2923	0	0
Zotu903	0	0
Zotu627	0	0
Zotu3022	0	0
Zotu1824	0	1
Zotu2288	0	0
Zotu2571	0	0
Zotu2310	0	0
Zotu4046	0	0
Zotu25	0	0
Zotu5138	0	0
Zotu1113	0	0
Zotu4983	0	0
Zotu5333	0	1
Zotu2661	0	0
Zotu1720	0	0
Zotu966	0	0
Zotu5299	0	0
Zotu3816	0	0
Zotu4134	0	0
Zotu5590	0	0
Zotu3807	0	0
Zotu5603	0	1
Zotu1471	0	0
Zotu1208	0	0
Zotu5579	0	0
Zotu2357	0	0
Zotu1296	0	0
Zotu1675	0	0
Zotu5592	0	0
Zotu2650	0	0
Zotu4124	0	0
Zotu231	0	0
Zotu923	0	4
Zotu802	0	0
Zotu6117	0	0
Zotu2330	0	0
Zotu574	0	0
Zotu3754	0	0
Zotu3788	0	0
Zotu1321	0	0
Zotu689	0	0
Zotu463	0	0
Zotu2160	0	0
Zotu1193	0	0
Zotu1671	0	0
Zotu1431	0	0
Zotu2060	0	0
Zotu1588	0	0
Zotu1249	0	0
Zotu479	0	0
Zotu1098	0	0
Zotu3188	0	0
Zotu4087	0	0
Zotu2992	0	0
Zotu785	0	0
Zotu3792	0	0
Zotu440	0	0
Zotu2132	0	0
Zotu5904	0	0
Zotu483	0	0
Zotu2985	0	0
Zotu2984	0	0
Zotu5285	0	0
Zotu2128	0	0
Zotu495	0	0
Zotu1767	0	0
Zotu930	0	0
Zotu1648	0	0
Zotu5893	0	0
Zotu5914	0	0
Zotu126	0	0
Zotu1247	0	0
Zotu266	0	0
Zotu932	0	0
Zotu224	0	0
Zotu852	0	0
Zotu5202	0	0
Zotu100	0	0
Zotu170	0	0
Zotu107	0	0
Zotu2582	0	0
Zotu54	0	0
Zotu1534	0	0
Zotu150	0	0
Zotu2951	0	0
Zotu139	0	0
Zotu303	0	0
Zotu2154	0	0
Zotu2282	0	0
Zotu3860	0	0
Zotu1349	0	0
Zotu4264	0	0
Zotu2870	0	0
Zotu4248	0	0
Zotu168	0	0
Zotu176	0	0
Zotu946	0	0
Zotu3138	0	0
Zotu1947	0	0
Zotu2325	0	0
Zotu749	0	0
Zotu4265	0	0
Zotu1990	0	0
Zotu5297	0	0
Zotu974	0	0
Zotu4695	0	0
Zotu368	0	0
Zotu1092	0	0
Zotu2847	0	0
Zotu4309	0	0
Zotu2406	0	0
Zotu2970	0	0
Zotu3854	0	0
Zotu298	0	0
Zotu244	0	0
Zotu2019	0	0
Zotu55	0	0
Zotu629	0	0
Zotu1463	0	0
Zotu1080	0	0
Zotu523	0	0
Zotu2904	0	0
Zotu557	0	0
Zotu4356	0	0
Zotu1252	0	0
Zotu2478	0	0
Zotu1150	0	0
Zotu302	0	0
Zotu1937	0	0
Zotu2900	0	0
Zotu2464	0	0
Zotu1055	0	0
Zotu1078	0	0
Zotu71	0	0
Zotu2939	0	0
Zotu1932	0	0
Zotu3518	0	0
Zotu1706	0	0
Zotu211	0	0
Zotu1182	0	0
Zotu3038	0	0
Zotu3870	0	0
Zotu5017	0	0
Zotu590	0	0
Zotu817	0	0
Zotu78	0	0
Zotu398	0	0
Zotu5023	0	0
Zotu3000	0	0
Zotu3002	0	0
Zotu3517	0	0
Zotu423	0	0
Zotu5490	0	0
Zotu2716	0	0
Zotu187	0	0
Zotu3031	0	0
Zotu3028	0	0
Zotu210	0	0
Zotu2675	0	0
Zotu6302	0	0
Zotu6297	0	0
Zotu1628	0	0
Zotu4378	0	0
Zotu329	0	0
Zotu900	0	0
Zotu4995	0	0
Zotu6275	0	0
Zotu2673	0	0
Zotu3510	0	0
Zotu1251	0	0
Zotu4333	0	0
Zotu3876	0	0
Zotu1525	0	0
Zotu4978	0	0
Zotu438	0	0
Zotu138	0	0
Zotu1096	0	0
Zotu620	0	0
Zotu3491	0	0
Zotu2040	0	0
Zotu4465	0	0
Zotu1523	0	0
Zotu2022	0	0
Zotu3075	0	0
Zotu3502	0	0
Zotu5144	0	0
Zotu480	0	0
Zotu1366	0	0
Zotu6343	0	0
Zotu3889	0	0
Zotu115	0	0
Zotu2409	0	0
Zotu5140	0	0
Zotu262	0	0
Zotu146	0	0
Zotu246	0	0
Zotu2694	0	0
Zotu1914	0	0
Zotu874	0	0
Zotu324	0	0
Zotu920	0	0
Zotu359	0	0
Zotu4059	0	0
Zotu2400	0	0
Zotu6282	0	0
Zotu469	0	0
Zotu707	0	0
Zotu2693	0	0
Zotu141	0	0
Zotu886	0	0
Zotu1025	0	0
Zotu364	0	0
Zotu406	0	0
Zotu263	0	0
Zotu372	0	0
Zotu4041	0	0
Zotu6295	0	0
Zotu1898	0	0
Zotu543	0	0
Zotu793	0	0
Zotu653	0	0
Zotu527	0	0
Zotu1097	0	0
Zotu5272	0	0
Zotu1331	0	0
Zotu147	0	0
Zotu688	0	0
Zotu2712	0	0
Zotu1332	0	0
Zotu267	0	0
Zotu461	0	0
Zotu3486	0	0
Zotu1228	0	0
Zotu487	0	0
Zotu275	0	0
Zotu3116	0	0
Zotu5981	0	0
Zotu5992	0	0
Zotu1939	0	0
Zotu2703	0	0
Zotu3121	0	0
Zotu5991	0	0
Zotu3883	0	0
Zotu1116	0	0
Zotu5978	0	0
Zotu5281	0	0
Zotu4535	0	0
Zotu118	0	0
Zotu2038	0	0
Zotu76	0	0
Zotu254	0	0
Zotu3884	0	0
Zotu4510	0	0
Zotu4501	0	0
Zotu1108	0	0
Zotu1093	0	0
Zotu2063	0	0
Zotu339	0	0
Zotu1118	0	0
Zotu2294	0	0
Zotu624	0	0
Zotu3085	0	0
Zotu4524	0	0
Zotu3046	0	0
Zotu794	0	0
Zotu5062	0	0
Zotu2337	0	0
Zotu2115	0	0
Zotu563	0	0
Zotu3436	0	0
Zotu4530	0	0
Zotu651	0	0
Zotu3929	0	0
Zotu4512	0	0
Zotu5082	0	0
Zotu5083	0	0
Zotu3777	0	0
Zotu5986	0	0
Zotu3453	0	0
Zotu221	0	0
Zotu786	0	0
Zotu304	0	0
Zotu6019	0	0
Zotu1745	0	0
Zotu1894	0	0
Zotu5971	0	0
Zotu5969	0	0
Zotu2469	0	0
Zotu769	0	0
Zotu3462	0	0
Zotu3011	0	0
Zotu4493	0	0
Zotu2352	0	0
Zotu6522	0	0
Zotu4496	0	0
Zotu1373	0	0
Zotu4539	0	0
Zotu1144	0	0
Zotu5097	0	0
Zotu5098	0	0
Zotu6517	0	0
Zotu4411	0	0
Zotu6449	0	0
Zotu4406	0	0
Zotu3451	0	0
Zotu6476	0	0
Zotu6484	0	0
Zotu1707	0	0
Zotu2507	0	0
Zotu4331	0	0
Zotu6445	0	0
Zotu6369	0	0
Zotu3708	0	0
Zotu2472	0	0
Zotu1929	0	0
Zotu1562	0	0
Zotu3946	0	0
Zotu6385	0	0
Zotu3498	0	0
Zotu4353	0	0
Zotu2012	0	0
Zotu6364	0	0
Zotu3916	0	0
Zotu1372	0	0
Zotu5088	0	0
Zotu508	0	0
Zotu3956	0	0
Zotu5835	0	0
Zotu2945	0	0
Zotu1971	0	0
Zotu3950	0	0
Zotu832	0	0
Zotu4785	0	0
Zotu2553	0	0
Zotu3944	0	0
Zotu1552	0	0
Zotu1797	0	0
Zotu6373	0	0
Zotu712	0	0
Zotu6370	0	0
Zotu2620	0	0
Zotu3959	0	0
Zotu6384	0	0
Zotu1383	0	0
Zotu6368	0	0
Zotu475	0	0
Zotu1657	0	0
Zotu6479	0	0
Zotu1192	0	0
Zotu4853	0	0
Zotu6516	0	0
Zotu613	0	0
Zotu1340	0	0
Zotu411	0	0
Zotu3297	0	0
Zotu6514	0	0
Zotu987	0	0
Zotu3294	0	0
Zotu2274	0	0
Zotu3931	0	0
Zotu2720	0	0
Zotu1732	0	0
Zotu5954	0	0
Zotu2512	0	0
Zotu2548	0	0
Zotu3302	0	0
Zotu5996	0	0
Zotu938	0	0
Zotu3608	0	0
Zotu4480	0	0
Zotu1995	0	0
Zotu6435	0	0
Zotu4677	0	0
Zotu3877	0	0
Zotu2974	0	0
Zotu4056	0	0
Zotu417	0	0
Zotu3284	0	0
Zotu4454	0	0
Zotu342	0	0
Zotu3862	0	0
Zotu1379	0	0
Zotu2839	0	0
Zotu1281	0	0
Zotu3233	0	0
Zotu1112	0	0
Zotu3811	0	0
Zotu5661	0	0
Zotu2757	0	0
Zotu2989	0	0
Zotu140	0	0
Zotu5499	0	0
Zotu2079	0	0
Zotu6260	0	0
Zotu4306	0	0
Zotu3794	0	0
Zotu472	0	0
Zotu4313	0	0
Zotu3830	0	0
Zotu885	0	0
Zotu2770	0	0
Zotu4660	0	0
Zotu3273	0	0
Zotu2760	0	0
Zotu4778	0	0
Zotu1485	0	0
Zotu1659	0	0
Zotu2421	0	0
Zotu1577	0	0
Zotu3755	0	0
Zotu1149	0	0
Zotu1881	0	0
Zotu4232	0	0
Zotu937	0	0
Zotu1199	0	0
Zotu3882	0	0
Zotu4099	0	0
Zotu1458	0	0
Zotu5939	0	0
Zotu3953	0	0
Zotu2894	0	0
Zotu4014	0	0
Zotu4569	0	0
Zotu5938	0	0
Zotu163	0	0
Zotu5935	0	0
Zotu4205	0	0
Zotu3039	0	0
Zotu4007	0	0
Zotu658	0	0
Zotu2257	0	0
Zotu5890	0	0
Zotu614	0	0
Zotu5945	0	0
Zotu2876	0	0
Zotu4201	0	0
Zotu549	0	0
Zotu5885	0	0
Zotu5886	0	0
Zotu310	0	0
Zotu2170	0	0
Zotu567	0	0
Zotu3124	0	0
Zotu5887	0	0
Zotu2493	0	0
Zotu1043	0	0
Zotu1401	0	0
Zotu706	0	0
Zotu158	0	0
Zotu4646	0	0
Zotu856	0	0
Zotu95	0	0
Zotu3102	0	0
Zotu5997	0	0
Zotu1191	0	0
Zotu4664	0	0
Zotu5998	0	0
Zotu1137	0	0
Zotu3992	0	0
Zotu4644	0	0
Zotu6009	0	0
Zotu2420	0	0
Zotu3387	0	0
Zotu1972	0	0
Zotu2700	0	0
Zotu3378	0	0
Zotu3426	0	0
Zotu530	0	0
Zotu175	0	0
Zotu3606	0	0
Zotu564	0	0
Zotu1151	0	0
Zotu3895	0	0
Zotu3393	0	0
Zotu3896	0	0
Zotu300	0	0
Zotu2483	0	0
Zotu3366	0	0
Zotu4706	0	0
Zotu5878	0	0
Zotu661	0	0
Zotu1897	0	0
Zotu1328	0	0
Zotu312	0	0
Zotu390	0	0
Zotu2887	0	0
Zotu1605	0	0
Zotu4746	0	0
Zotu226	0	0
Zotu314	0	0
Zotu4733	0	0
Zotu4732	0	0
Zotu4129	0	0
Zotu2102	0	0
Zotu4707	0	0
Zotu1527	0	0
Zotu5909	0	0
Zotu1294	0	0
Zotu236	0	0
Zotu1288	0	0
Zotu3869	0	0
Zotu1743	0	0
Zotu2382	0	0
Zotu2370	0	0
Zotu3861	0	0
Zotu4744	0	0
Zotu4237	0	0
Zotu1077	0	0
Zotu1545	0	0
Zotu293	0	0
Zotu6156	0	0
Zotu2397	0	0
Zotu1955	0	0
Zotu318	0	0
Zotu3864	0	0
Zotu3367	0	0
Zotu4153	0	0
Zotu2652	0	0
Zotu3865	0	0
Zotu6164	0	0
Zotu800	0	0
Zotu1953	0	0
Zotu4821	0	0
Zotu2871	0	0
Zotu1819	0	0
Zotu2565	0	0
Zotu6179	0	0
Zotu3337	0	0
Zotu6158	0	0
Zotu4833	0	0
Zotu1046	0	0
Zotu4085	0	0
Zotu1396	0	0
Zotu1764	0	0
Zotu1397	0	0
Zotu3969	0	0
Zotu3354	0	0
Zotu1392	0	0
Zotu2017	0	0
Zotu579	0	0
Zotu2767	0	0
Zotu2260	0	0
Zotu4034	0	0
Zotu4006	0	0
Zotu3404	0	0
Zotu2962	0	0
Zotu2306	0	0
Zotu680	0	0
Zotu2605	0	0
Zotu2555	0	0
Zotu1454	0	0
Zotu6061	0	0
Zotu906	0	0
Zotu1539	0	0
Zotu338	0	0
Zotu958	0	0
Zotu386	0	0
Zotu1703	0	0
Zotu4024	0	0
Zotu4203	0	0
Zotu320	0	0
Zotu1956	0	0
Zotu4192	0	0
Zotu1844	0	0
Zotu829	0	0
Zotu2581	0	0
Zotu4793	0	0
Zotu2892	0	0
Zotu4198	0	0
Zotu2849	0	0
Zotu873	0	0
Zotu6118	0	0
Zotu6141	0	0
Zotu3751	0	0
Zotu1993	0	0
Zotu637	0	0
Zotu3772	0	0
Zotu1146	0	0
Zotu4054	0	0
Zotu4838	0	0
Zotu1710	0	0
Zotu6120	0	0
Zotu2475	0	0
Zotu2158	0	0
Zotu1858	0	0
Zotu323	0	0
Zotu3791	0	0
Zotu2050	0	0
Zotu2048	0	0
Zotu3971	0	0
Zotu6121	0	0
Zotu1254	0	0
Zotu1079	0	0
Zotu1537	0	0
Zotu4226	0	0
Zotu1622	0	0
Zotu3099	0	0
Zotu2818	0	0
Zotu6132	0	0
Zotu1633	0	0
Zotu4836	0	0
Zotu945	0	0
Zotu4844	0	0
Zotu6151	0	0
Zotu230	0	0
Zotu4142	0	0
Zotu1644	0	0
Zotu694	0	0
Zotu4874	0	0
Zotu4876	0	0
Zotu4125	0	0
Zotu6111	0	0
Zotu4123	0	0
Zotu911	0	0
Zotu416	0	0
Zotu4902	0	0
Zotu4170	0	0
Zotu3846	0	0
Zotu6176	0	0
Zotu4229	0	0
Zotu4787	0	0
Zotu3382	0	0
Zotu6174	0	0
Zotu6171	0	0
Zotu1227	0	0
Zotu4180	0	0
Zotu1419	0	0
Zotu2499	0	0
Zotu1755	0	0
Zotu2359	0	0
Zotu6115	0	0
Zotu505	0	0
Zotu3761	0	0
Zotu6113	0	0
Zotu3836	0	0
Zotu2796	0	0
Zotu6127	0	0
Zotu609	0	0
Zotu4899	0	0
Zotu1066	0	0
Zotu2745	0	0
Zotu576	0	0
Zotu6128	0	0
Zotu3431	0	0
Zotu4220	0	0
Zotu592	0	0
Zotu4887	0	0
Zotu528	0	0
Zotu4888	0	0
Zotu2276	0	0
Zotu4920	0	0
Zotu6172	0	0
Zotu1059	0	0
Zotu4214	0	0
Zotu1504	0	0
Zotu925	0	0
Zotu784	0	0
Zotu6175	0	0
Zotu3094	0	0
Zotu4901	0	0
Zotu2884	0	0
Zotu2093	0	0
Zotu2422	0	0
Zotu3416	0	0
Zotu4774	0	0
Zotu6147	0	0
Zotu2105	0	0
Zotu4872	0	0
Zotu6150	0	0
Zotu4090	0	0
Zotu3695	0	0
Zotu4867	0	0
Zotu4857	0	0
Zotu2384	0	0
Zotu2500	0	0
Zotu347	0	0
Zotu2792	0	0
Zotu3964	0	0
Zotu1330	0	0
Zotu3686	0	0
Zotu3410	0	0
Zotu2505	0	0
Zotu2344	0	0
Zotu2762	0	0
Zotu437	0	0
Zotu6140	0	0
Zotu1852	0	0
Zotu4049	0	0
Zotu6142	0	0
Zotu4084	0	0
Zotu1719	0	0
Zotu1718	0	0
Zotu4078	0	0
Zotu735	0	0
Zotu806	0	0
Zotu4002	0	0
Zotu981	0	0
Zotu4796	0	0
Zotu4189	0	0
Zotu4831	0	0
Zotu1813	0	0
Zotu942	0	0
Zotu4808	0	0
Zotu3651	0	0
Zotu6071	0	0
Zotu6067	0	0
Zotu4766	0	0
Zotu6068	0	0
Zotu6069	0	0
Zotu6182	0	0
Zotu1630	0	0
Zotu1606	0	0
Zotu2095	0	0
Zotu6185	0	0
Zotu6187	0	0
Zotu3383	0	0
Zotu3541	0	0
Zotu3544	0	0
Zotu2550	0	0
Zotu4037	0	0
Zotu1989	0	0
Zotu1319	0	0
Zotu337	0	0
Zotu400	0	0
Zotu4719	0	0
Zotu1541	0	0
Zotu3621	0	0
Zotu4745	0	0
Zotu1793	0	0
Zotu2935	0	0
Zotu415	0	0
Zotu760	0	0
Zotu6152	0	0
Zotu2641	0	0
Zotu1736	0	0
Zotu2960	0	0
Zotu753	0	0
Zotu5910	0	0
Zotu5898	0	0
Zotu4704	0	0
Zotu102	0	0
Zotu1922	0	0
Zotu5879	0	0
Zotu1876	0	0
Zotu1555	0	0
Zotu2363	0	0
Zotu3983	0	0
Zotu1317	0	0
Zotu943	0	0
Zotu6007	0	0
Zotu6012	0	0
Zotu4647	0	0
Zotu1232	0	0
Zotu6014	0	0
Zotu3397	0	0
Zotu2492	0	0
Zotu4682	0	0
Zotu5889	0	0
Zotu5892	0	0
Zotu3336	0	0
Zotu4009	0	0
Zotu678	0	0
Zotu5894	0	0
Zotu5815	0	0
Zotu5913	0	0
Zotu2336	0	0
Zotu2669	0	0
Zotu2327	0	0
Zotu4621	0	0
Zotu3353	0	0
Zotu4008	0	0
Zotu3600	0	0
Zotu1074	0	0
Zotu5916	0	0
Zotu4605	0	0
Zotu2710	0	0
Zotu264	0	0
Zotu2644	0	0
Zotu3632	0	0
Zotu6089	0	0
Zotu2807	0	0
Zotu3421	0	0
Zotu3372	0	0
Zotu5944	0	0
Zotu5936	0	0
Zotu3369	0	0
Zotu1019	0	0
Zotu787	0	0
Zotu419	0	0
Zotu1426	0	0
Zotu5940	0	0
Zotu2608	0	0
Zotu306	0	0
Zotu1796	0	0
Zotu1616	0	0
Zotu2758	0	0
Zotu6042	0	0
Zotu1312	0	0
Zotu1991	0	0
Zotu1860	0	0
Zotu6064	0	0
Zotu783	0	0
Zotu4657	0	0
Zotu3361	0	0
Zotu4816	0	0
Zotu6051	0	0
Zotu3547	0	0
Zotu6099	0	0
Zotu476	0	0
Zotu2127	0	0
Zotu6044	0	0
Zotu3576	0	0
Zotu6084	0	0
Zotu4281	0	0
Zotu4173	0	0
Zotu198	0	0
Zotu365	0	0
Zotu6190	0	0
Zotu515	0	0
Zotu4252	0	0
Zotu3240	0	0
Zotu825	0	0
Zotu3720	0	0
Zotu4741	0	0
Zotu1643	0	0
Zotu1233	0	0
Zotu952	0	0
Zotu2889	0	0
Zotu2773	0	0
Zotu3073	0	0
Zotu3010	0	0
Zotu2033	0	0
Zotu3080	0	0
Zotu1790	0	0
Zotu4320	0	0
Zotu2173	0	0
Zotu2335	0	0
Zotu5226	0	0
Zotu861	0	0
Zotu3091	0	0
Zotu3317	0	0
Zotu1763	0	0
Zotu2999	0	0
Zotu4384	0	0
Zotu2360	0	0
Zotu3096	0	0
Zotu2995	0	0
Zotu2460	0	0
Zotu3291	0	0
Zotu3649	0	0
Zotu5485	0	0
Zotu482	0	0
Zotu4398	0	0
Zotu4431	0	0
Zotu4606	0	0
Zotu4404	0	0
Zotu3244	0	0
Zotu6358	0	0
Zotu1479	0	0
Zotu650	0	0
Zotu804	0	0
Zotu684	0	0
Zotu6352	0	0
Zotu2836	0	0
Zotu1782	0	0
Zotu871	0	0
Zotu3636	0	0
Zotu1404	0	0
Zotu1478	0	0
Zotu6351	0	0
Zotu513	0	0
Zotu1255	0	0
Zotu2789	0	0
Zotu6296	0	0
Zotu3580	0	0
Zotu4635	0	0
Zotu1992	0	0
Zotu773	0	0
Zotu6317	0	0
Zotu1739	0	0
Zotu1610	0	0
Zotu301	0	0
Zotu2217	0	0
Zotu2837	0	0
Zotu2840	0	0
Zotu3603	0	0
Zotu1704	0	0
Zotu2735	0	0
Zotu2899	0	0
Zotu2014	0	0
Zotu3235	0	0
Zotu3280	0	0
Zotu4045	0	0
Zotu2322	0	0
Zotu821	0	0
Zotu2897	0	0
Zotu3278	0	0
Zotu2183	0	0
Zotu1063	0	0
Zotu6292	0	0
Zotu6280	0	0
Zotu3638	0	0
Zotu949	0	0
Zotu6279	0	0
Zotu3592	0	0
Zotu3591	0	0
Zotu3590	0	0
Zotu4062	0	0
Zotu6398	0	0
Zotu6399	0	0
Zotu951	0	0
Zotu982	0	0
Zotu5187	0	0
Zotu5193	0	0
Zotu2177	0	0
Zotu3519	0	0
Zotu1960	0	0
Zotu1334	0	0
Zotu1815	0	0
Zotu5975	0	0
Zotu3159	0	0
Zotu2810	0	0
Zotu5188	0	0
Zotu2516	0	0
Zotu1502	0	0
Zotu1701	0	0
Zotu3522	0	0
Zotu154	0	0
Zotu5980	0	0
Zotu5979	0	0
Zotu4536	0	0
Zotu4681	0	0
Zotu2811	0	0
Zotu5974	0	0
Zotu538	0	0
Zotu3521	0	0
Zotu3237	0	0
Zotu6427	0	0
Zotu2229	0	0
Zotu4538	0	0
Zotu2872	0	0
Zotu644	0	0
Zotu2803	0	0
Zotu4736	0	0
Zotu4735	0	0
Zotu1114	0	0
Zotu1157	0	0
Zotu6401	0	0
Zotu272	0	0
Zotu6400	0	0
Zotu2203	0	0
Zotu947	0	0
Zotu2523	0	0
Zotu4503	0	0
Zotu4662	0	0
Zotu3305	0	0
Zotu5994	0	0
Zotu1547	0	0
Zotu6027	0	0
Zotu3320	0	0
Zotu2597	0	0
Zotu1859	0	0
Zotu4748	0	0
Zotu862	0	0
Zotu4743	0	0
Zotu2239	0	0
Zotu3318	0	0
Zotu711	0	0
Zotu3322	0	0
Zotu2750	0	0
Zotu1309	0	0
Zotu1964	0	0
Zotu2302	0	0
Zotu6004	0	0
Zotu332	0	0
Zotu3620	0	0
Zotu2237	0	0
Zotu994	0	0
Zotu3310	0	0
Zotu6021	0	0
Zotu6002	0	0
Zotu6001	0	0
Zotu6023	0	0
Zotu2293	0	0
Zotu4514	0	0
Zotu5961	0	0
Zotu3004	0	0
Zotu3540	0	0
Zotu866	0	0
Zotu5948	0	0
Zotu3053	0	0
Zotu1812	0	0
Zotu257	0	0
Zotu2726	0	0
Zotu5955	0	0
Zotu5982	0	0
Zotu2732	0	0
Zotu1999	0	0
Zotu5983	0	0
Zotu5957	0	0
Zotu4552	0	0
Zotu1300	0	0
Zotu1179	0	0
Zotu5963	0	0
Zotu4762	0	0
Zotu3156	0	0
Zotu4763	0	0
Zotu703	0	0
Zotu4758	0	0
Zotu1866	0	0
Zotu2532	0	0
Zotu868	0	0
Zotu4751	0	0
Zotu2362	0	0
Zotu6506	0	0
Zotu4826	0	0
Zotu1406	0	0
Zotu4829	0	0
Zotu3668	0	0
Zotu1676	0	0
Zotu6505	0	0
Zotu1499	0	0
Zotu6493	0	0
Zotu722	0	0
Zotu3682	0	0
Zotu1212	0	0
Zotu797	0	0
Zotu2678	0	0
Zotu369	0	0
Zotu891	0	0
Zotu4845	0	0
Zotu4848	0	0
Zotu1879	0	0
Zotu2195	0	0
Zotu1870	0	0
Zotu6459	0	0
Zotu2188	0	0
Zotu2919	0	0
Zotu2004	0	0
Zotu6475	0	0
Zotu1085	0	0
Zotu2314	0	0
Zotu460	0	0
Zotu2686	0	0
Zotu2832	0	0
Zotu4389	0	0
Zotu6447	0	0
Zotu578	0	0
Zotu1008	0	0
Zotu117	0	0
Zotu4880	0	0
Zotu2519	0	0
Zotu1780	0	0
Zotu2860	0	0
Zotu4771	0	0
Zotu4773	0	0
Zotu6371	0	0
Zotu2248	0	0
Zotu1258	0	0
Zotu3664	0	0
Zotu4293	0	0
Zotu4777	0	0
Zotu4267	0	0
Zotu4770	0	0
Zotu6497	0	0
Zotu6501	0	0
Zotu2510	0	0
Zotu4371	0	0
Zotu6500	0	0
Zotu2613	0	0
Zotu6392	0	0
Zotu4892	0	0
Zotu3675	0	0
Zotu2848	0	0
Zotu4298	0	0
Zotu6381	0	0
Zotu1948	0	0
Zotu5090	0	0
Zotu1056	0	0
Zotu1265	0	0
Zotu2654	0	0
Zotu86	0	0
Zotu1774	0	0
Zotu2917	0	0
Zotu5054	0	0
Zotu5110	0	0
Zotu1928	0	0
Zotu1230	0	0
Zotu2649	0	0
Zotu279	0	0
Zotu6511	0	0
Zotu6487	0	0
Zotu3674	0	0
Zotu1234	0	0
Zotu6520	0	0
Zotu3687	0	0
Zotu1510	0	0
Zotu5081	0	0
Zotu3036	0	0
Zotu3465	0	0
Zotu3474	0	0
Zotu1623	0	0
Zotu5999	0	0
Zotu1178	0	0
Zotu607	0	0
Zotu6028	0	0
Zotu3538	0	0
Zotu1413	0	0
Zotu2491	0	0
Zotu2883	0	0
Zotu3477	0	0
Zotu4491	0	0
Zotu1453	0	0
Zotu6414	0	0
Zotu3359	0	0
Zotu5279	0	0
Zotu3489	0	0
Zotu5200	0	0
Zotu970	0	0
Zotu6359	0	0
Zotu6354	0	0
Zotu6349	0	0
Zotu4400	0	0
Zotu5141	0	0
Zotu2312	0	0
Zotu1203	0	0
Zotu5154	0	0
Zotu2091	0	0
Zotu3494	0	0
Zotu4334	0	0
Zotu3739	0	0
Zotu3509	0	0
Zotu4387	0	0
Zotu5861	0	0
Zotu4327	0	0
Zotu4326	0	0
Zotu3044	0	0
Zotu1140	0	0
Zotu1618	0	0
Zotu6310	0	0
Zotu3049	0	0
Zotu1410	0	0
Zotu2670	0	0
Zotu4338	0	0
Zotu2082	0	0
Zotu6301	0	0
Zotu2442	0	0
Zotu2086	0	0
Zotu444	0	0
Zotu2069	0	0
Zotu3033	0	0
Zotu973	0	0
Zotu1903	0	0
Zotu4994	0	0
Zotu995	0	0
Zotu3050	0	0
Zotu2445	0	0
Zotu2066	0	0
Zotu434	0	0
Zotu2708	0	0
Zotu3032	0	0
Zotu3013	0	0
Zotu1032	0	0
Zotu3711	0	0
Zotu4396	0	0
Zotu2059	0	0
Zotu3482	0	0
Zotu3026	0	0
Zotu4382	0	0
Zotu1415	0	0
Zotu2481	0	0
Zotu1320	0	0
Zotu1522	0	0
Zotu1904	0	0
Zotu1004	0	0
Zotu2057	0	0
Zotu1902	0	0
Zotu2707	0	0
Zotu1519	0	0
Zotu4992	0	0
Zotu1558	0	0
Zotu1280	0	0
Zotu2136	0	0
Zotu5024	0	0
Zotu2666	0	0
Zotu2376	0	0
Zotu6270	0	0
Zotu3724	0	0
Zotu2977	0	0
Zotu3734	0	0
Zotu1598	0	0
Zotu6271	0	0
Zotu931	0	0
Zotu2168	0	0
Zotu2659	0	0
Zotu1713	0	0
Zotu3735	0	0
Zotu2910	0	0
Zotu2657	0	0
Zotu2467	0	0
Zotu2150	0	0
Zotu4947	0	0
Zotu2656	0	0
Zotu4329	0	0
Zotu3143	0	0
Zotu4349	0	0
Zotu2926	0	0
Zotu5028	0	0
Zotu3743	0	0
Zotu3144	0	0
Zotu3145	0	0
Zotu857	0	0
Zotu5037	0	0
Zotu6261	0	0
Zotu3730	0	0
Zotu3142	0	0
Zotu2972	0	0
Zotu5010	0	0
Zotu4322	0	0
Zotu2021	0	0
Zotu3148	0	0
Zotu581	0	0
Zotu2015	0	0
Zotu6269	0	0
Zotu343	0	0
Zotu6263	0	0
Zotu299	0	0
Zotu4259	0	0
Zotu1544	0	0
Zotu743	0	0
Zotu5240	0	0
Zotu6264	0	0
Zotu5233	0	0
Zotu1122	0	0
Zotu3560	0	0
Zotu3126	0	0
Zotu4300	0	0
Zotu1014	0	0
Zotu569	0	0
Zotu1395	0	0
Zotu6462	0	0
Zotu2135	0	0
Zotu1068	0	0
Zotu1949	0	0
Zotu6236	0	0
Zotu2633	0	0
Zotu4268	0	0
Zotu5305	0	0
Zotu1551	0	0
Zotu3569	0	0
Zotu2619	0	0
Zotu1970	0	0
Zotu6225	0	0
Zotu3704	0	0
Zotu6222	0	0
Zotu6215	0	0
Zotu2946	0	0
Zotu5222	0	0
Zotu6332	0	0
Zotu184	0	0
Zotu2152	0	0
Zotu1391	0	0
Zotu5227	0	0
Zotu5257	0	0
Zotu6336	0	0
Zotu1533	0	0
Zotu5242	0	0
Zotu5224	0	0
Zotu6208	0	0
Zotu6211	0	0
Zotu6213	0	0
Zotu1665	0	0
Zotu1173	0	0
Zotu1183	0	0
Zotu436	0	0
Zotu1998	0	0
Zotu1636	0	0
Zotu4178	0	0
Zotu4234	0	0
Zotu296	0	0
Zotu6198	0	0
Zotu4238	0	0
Zotu3552	0	0
Zotu1770	0	0
Zotu6033	0	0
Zotu3578	0	0
Zotu2545	0	0
Zotu4159	0	0
Zotu5221	0	0
Zotu3646	0	0
Zotu6031	0	0
