OTUID;FPS001;FPS002;FPS003;FPS004;FPS005;FPS006;FPS007;FPS008;FPS009;FPS010;FPS011;FPS012;FPS013;FPS014;FPS015;FPS017;FPS018;FPS019;FPS020;FPS021;FPS022;FPS023;FPS024;FPS025;FPS026;FPS027;FPS028;FPS029;FPS030;FPS031;FPS032;FPS033;FPS034;FPS035;FPS036;FPS037;FPS038;FPS039;FPS040;FPS041;FPS042;FPS043;FPS044;FPS045;FPS046;FPS047;FPS048;FPS049;FPS050;FPS051;FPS052;FPS053;FPS054;FPS055;FPS056;FPS057;FPS058;FPS059;FPS060;FPS061;FPS062;FPS063;FPS064;FPS065;FPS066;FPS067;FPS068;FPS069;FPS070;FPS071;FPS072;FPS073;FPS074;FPS075
362aaea2465800226df61ac43a49498a;0.0;100.0;0.0;0.0;120.0;0.0;0.0;360.0;0.0;87.0;446.0;32.0;0.0;0.0;41.0;0.0;0.0;0.0;0.0;246.0;0.0;76.0;0.0;0.0;0.0;321.0;113.0;0.0;274.0;0.0;0.0;0.0;0.0;0.0;123.0;0.0;121.0;309.0;0.0;0.0;0.0;0.0;0.0;1137.0;63.0;39.0;0.0;257.0;340.0;0.0;0.0;0.0;0.0;254.0;106.0;0.0;0.0;0.0;0.0;0.0;63.0;0.0;0.0;84.0;64.0;459.0;0.0;280.0;0.0;0.0;0.0;0.0;0.0;90.0
cef6fc0640cbae4d4cae502b704853e8;0.0;326.0;112.0;0.0;891.0;0.0;0.0;0.0;0.0;135.0;118.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0;0.0;168.0;0.0;0.0;35.0;0.0;23.0;0.0;502.0;0.0;0.0;0.0;0.0;0.0;449.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;71.0;0.0;0.0;75.0;0.0;220.0;0.0;0.0;0.0;193.0;96.0;0.0;392.0;0.0;56.0;67.0;657.0;78.0;551.0;0.0;0.0;0.0;95.0;0.0;0.0;559.0;0.0;33.0;0.0;37.0;0.0;0.0
e687c74746adfec0074cc28da549f5b4;183.0;83.0;46.0;0.0;0.0;21.0;0.0;0.0;140.0;0.0;0.0;0.0;120.0;122.0;0.0;0.0;267.0;56.0;0.0;90.0;285.0;294.0;0.0;98.0;127.0;0.0;0.0;130.0;0.0;0.0;201.0;0.0;591.0;447.0;0.0;0.0;61.0;0.0;102.0;315.0;289.0;0.0;55.0;0.0;0.0;49.0;0.0;44.0;32.0;0.0;50.0;57.0;0.0;104.0;0.0;0.0;0.0;287.0;120.0;142.0;153.0;0.0;0.0;0.0;23.0;120.0;0.0;0.0;191.0;89.0;0.0;206.0;98.0;57.0
393d3f3ddd74dbb610caa7730d009370;78.0;190.0;63.0;103.0;0.0;218.0;0.0;92.0;49.0;0.0;124.0;0.0;139.0;299.0;0.0;0.0;53.0;72.0;0.0;0.0;223.0;0.0;0.0;136.0;120.0;0.0;0.0;321.0;0.0;76.0;233.0;0.0;210.0;0.0;0.0;0.0;0.0;0.0;53.0;217.0;116.0;0.0;157.0;0.0;0.0;149.0;0.0;0.0;125.0;0.0;142.0;114.0;158.0;136.0;0.0;0.0;52.0;0.0;79.0;171.0;76.0;0.0;0.0;0.0;116.0;170.0;0.0;79.0;134.0;141.0;131.0;65.0;103.0;131.0
0fc6b2577140b96122738f96180f1fda;806.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;94.0;0.0;0.0;0.0;91.0;0.0;0.0;0.0;319.0;0.0;0.0;120.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0;0.0;0.0;0.0;0.0;981.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;203.0;433.0;0.0;675.0;0.0;0.0;154.0;0.0;0.0;95.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;491.0;0.0;0.0;0.0;84.0;112.0;177.0;0.0;690.0;0.0
e547116a168d0fa99634d8a7057725e3;166.0;37.0;38.0;84.0;0.0;95.0;0.0;0.0;96.0;0.0;85.0;0.0;94.0;103.0;0.0;0.0;205.0;46.0;0.0;66.0;229.0;228.0;0.0;69.0;83.0;0.0;0.0;111.0;0.0;0.0;157.0;0.0;498.0;413.0;0.0;0.0;0.0;0.0;97.0;295.0;214.0;0.0;74.0;0.0;0.0;74.0;0.0;0.0;128.0;0.0;74.0;114.0;57.0;80.0;0.0;0.0;0.0;224.0;85.0;124.0;161.0;0.0;0.0;0.0;0.0;91.0;0.0;24.0;155.0;97.0;97.0;163.0;95.0;75.0
519f248084e048b463a50889649bca83;173.0;43.0;31.0;38.0;0.0;0.0;0.0;136.0;108.0;70.0;0.0;0.0;88.0;87.0;0.0;0.0;253.0;33.0;0.0;86.0;266.0;244.0;0.0;91.0;107.0;0.0;0.0;119.0;0.0;0.0;152.0;0.0;512.0;443.0;0.0;0.0;0.0;0.0;99.0;307.0;212.0;0.0;52.0;0.0;0.0;31.0;0.0;53.0;0.0;0.0;50.0;51.0;29.0;76.0;0.0;0.0;0.0;264.0;113.0;120.0;154.0;101.0;0.0;0.0;0.0;88.0;0.0;0.0;157.0;85.0;0.0;200.0;105.0;39.0
281f39c8346f02ed71377ef5619e3e11;0.0;325.0;93.0;0.0;830.0;0.0;0.0;0.0;0.0;134.0;127.0;0.0;0.0;0.0;0.0;0.0;0.0;44.0;0.0;0.0;0.0;157.0;0.0;0.0;33.0;0.0;0.0;0.0;446.0;0.0;0.0;0.0;0.0;0.0;375.0;0.0;57.0;0.0;0.0;0.0;0.0;0.0;56.0;0.0;0.0;47.0;0.0;212.0;0.0;0.0;0.0;191.0;71.0;0.0;313.0;0.0;45.0;56.0;606.0;82.0;507.0;0.0;0.0;0.0;78.0;0.0;0.0;491.0;0.0;0.0;0.0;45.0;24.0;0.0
4c55aff2e93116b506abd0e7afd94722;82.0;335.0;45.0;82.0;0.0;166.0;0.0;68.0;49.0;94.0;70.0;0.0;106.0;235.0;0.0;0.0;92.0;46.0;0.0;48.0;174.0;78.0;0.0;0.0;202.0;0.0;0.0;279.0;0.0;57.0;209.0;0.0;207.0;92.0;0.0;0.0;81.0;0.0;80.0;86.0;177.0;0.0;53.0;87.0;0.0;94.0;0.0;49.0;181.0;0.0;101.0;0.0;67.0;113.0;0.0;0.0;199.0;160.0;47.0;101.0;187.0;0.0;0.0;0.0;76.0;123.0;0.0;84.0;85.0;69.0;79.0;32.0;63.0;105.0
10d5e75125223e28f9cfc6812a0b339e;0.0;68.0;0.0;0.0;102.0;0.0;0.0;314.0;0.0;63.0;379.0;0.0;0.0;0.0;61.0;0.0;0.0;0.0;0.0;207.0;0.0;0.0;0.0;0.0;126.0;266.0;0.0;0.0;235.0;0.0;124.0;0.0;0.0;0.0;117.0;0.0;140.0;257.0;0.0;0.0;0.0;0.0;0.0;938.0;48.0;102.0;0.0;286.0;298.0;0.0;0.0;0.0;0.0;209.0;71.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0;62.0;71.0;393.0;0.0;229.0;0.0;105.0;0.0;0.0;0.0;0.0
fc3f0a90a4586adcc575424b731f4f26;148.0;38.0;48.0;35.0;0.0;0.0;0.0;36.0;95.0;0.0;0.0;0.0;90.0;100.0;0.0;0.0;234.0;42.0;0.0;88.0;258.0;241.0;0.0;85.0;98.0;0.0;0.0;111.0;0.0;0.0;158.0;0.0;553.0;409.0;0.0;0.0;0.0;0.0;105.0;313.0;274.0;0.0;54.0;0.0;0.0;34.0;0.0;0.0;54.0;0.0;73.0;45.0;0.0;97.0;0.0;0.0;0.0;268.0;110.0;131.0;175.0;35.0;0.0;0.0;0.0;106.0;0.0;0.0;147.0;91.0;0.0;174.0;113.0;36.0
94c1aa7f7d87b12602fd627fa659bcd8;141.0;91.0;152.0;0.0;99.0;0.0;0.0;0.0;0.0;508.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;128.0;0.0;0.0;0.0;0.0;0.0;58.0;77.0;101.0;0.0;0.0;0.0;105.0;66.0;0.0;113.0;87.0;292.0;0.0;34.0;0.0;172.0;0.0;0.0;0.0;217.0;38.0;66.0;76.0;0.0;111.0;0.0;0.0;0.0;812.0;0.0;182.0;96.0;0.0;0.0;133.0;266.0;25.0;63.0;42.0;0.0;56.0;147.0;137.0;0.0;0.0;0.0;0.0;0.0;331.0;70.0;207.0
33012d8a27658f3245b5f0a1d567c82b;57.0;59.0;95.0;102.0;0.0;291.0;0.0;0.0;103.0;90.0;0.0;466.0;104.0;90.0;0.0;0.0;62.0;78.0;0.0;91.0;87.0;110.0;0.0;135.0;147.0;0.0;0.0;76.0;0.0;113.0;68.0;98.0;142.0;43.0;0.0;0.0;124.0;0.0;0.0;73.0;267.0;0.0;235.0;0.0;0.0;0.0;0.0;0.0;172.0;0.0;98.0;0.0;148.0;61.0;0.0;0.0;92.0;149.0;0.0;67.0;151.0;0.0;0.0;0.0;54.0;198.0;0.0;134.0;0.0;225.0;120.0;62.0;0.0;57.0
26154a010c4762af96ca823fd9bba09e;194.0;151.0;0.0;0.0;0.0;113.0;0.0;69.0;159.0;0.0;0.0;0.0;0.0;84.0;0.0;0.0;194.0;68.0;0.0;0.0;289.0;123.0;0.0;73.0;127.0;0.0;0.0;204.0;0.0;84.0;299.0;0.0;85.0;110.0;0.0;0.0;72.0;0.0;67.0;302.0;265.0;0.0;0.0;28.0;0.0;122.0;0.0;118.0;120.0;0.0;169.0;185.0;56.0;142.0;0.0;0.0;43.0;0.0;46.0;68.0;145.0;0.0;0.0;0.0;133.0;137.0;0.0;72.0;112.0;176.0;82.0;43.0;48.0;0.0
af7af87d616d330346b7d2f76e5e28dd;158.0;55.0;39.0;27.0;0.0;0.0;0.0;0.0;117.0;0.0;0.0;0.0;64.0;110.0;0.0;0.0;212.0;32.0;0.0;63.0;260.0;237.0;0.0;79.0;70.0;0.0;0.0;108.0;0.0;27.0;146.0;27.0;497.0;465.0;0.0;0.0;0.0;0.0;113.0;285.0;222.0;0.0;38.0;0.0;0.0;36.0;0.0;0.0;30.0;0.0;42.0;38.0;36.0;87.0;0.0;0.0;41.0;254.0;100.0;138.0;147.0;0.0;0.0;0.0;0.0;103.0;0.0;50.0;165.0;77.0;0.0;167.0;104.0;51.0
51c6135859ffcb531afd4193997b7023;127.0;253.0;167.0;142.0;0.0;109.0;0.0;42.0;141.0;155.0;0.0;0.0;94.0;120.0;0.0;0.0;191.0;76.0;0.0;0.0;89.0;121.0;73.0;0.0;99.0;0.0;0.0;88.0;0.0;110.0;152.0;0.0;156.0;99.0;0.0;0.0;0.0;0.0;185.0;228.0;122.0;0.0;87.0;126.0;0.0;107.0;0.0;79.0;145.0;0.0;197.0;77.0;0.0;118.0;0.0;0.0;70.0;0.0;99.0;122.0;102.0;0.0;0.0;0.0;85.0;97.0;0.0;51.0;37.0;127.0;0.0;53.0;118.0;41.0
1a011d5e7c361fde83668c2b31b1dd25;0.0;87.0;0.0;0.0;91.0;0.0;0.0;295.0;0.0;50.0;408.0;30.0;0.0;0.0;52.0;0.0;0.0;0.0;0.0;191.0;0.0;0.0;0.0;0.0;0.0;257.0;0.0;0.0;211.0;0.0;24.0;44.0;0.0;0.0;122.0;0.0;129.0;257.0;0.0;0.0;0.0;0.0;0.0;978.0;54.0;0.0;0.0;263.0;304.0;0.0;0.0;0.0;0.0;193.0;85.0;0.0;0.0;0.0;0.0;0.0;37.0;0.0;0.0;80.0;70.0;401.0;0.0;273.0;0.0;57.0;0.0;0.0;0.0;0.0
adffa7ce84e71a5ff7d917d77c0b11b2;41.0;125.0;166.0;74.0;0.0;123.0;0.0;132.0;84.0;0.0;83.0;0.0;0.0;111.0;0.0;0.0;69.0;131.0;0.0;0.0;357.0;0.0;0.0;195.0;306.0;0.0;0.0;73.0;0.0;145.0;141.0;0.0;156.0;190.0;0.0;0.0;92.0;0.0;0.0;0.0;114.0;0.0;124.0;0.0;0.0;108.0;0.0;0.0;139.0;0.0;65.0;18.0;39.0;148.0;0.0;0.0;0.0;0.0;86.0;238.0;136.0;0.0;0.0;0.0;119.0;235.0;0.0;72.0;230.0;68.0;74.0;118.0;64.0;28.0
51569830b40aee560ffd3133d5c04cee;150.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;108.0;101.0;36.0;0.0;0.0;33.0;102.0;0.0;0.0;91.0;0.0;33.0;283.0;495.0;0.0;88.0;247.0;90.0;0.0;82.0;0.0;108.0;31.0;0.0;345.0;86.0;0.0;0.0;0.0;118.0;134.0;95.0;166.0;0.0;95.0;0.0;87.0;51.0;0.0;0.0;68.0;0.0;116.0;102.0;140.0;110.0;58.0;0.0;0.0;0.0;118.0;258.0;50.0;0.0;0.0;0.0;146.0;105.0;0.0;141.0;110.0;0.0;53.0;0.0;0.0;0.0
5b8ea12a93533efb5758f42082d3470a;0.0;71.0;0.0;0.0;98.0;0.0;0.0;275.0;0.0;33.0;392.0;0.0;0.0;0.0;74.0;0.0;0.0;0.0;0.0;154.0;0.0;0.0;0.0;0.0;24.0;223.0;0.0;0.0;216.0;0.0;115.0;0.0;0.0;0.0;109.0;0.0;91.0;254.0;0.0;0.0;0.0;0.0;0.0;938.0;107.0;122.0;0.0;237.0;269.0;0.0;0.0;0.0;0.0;174.0;67.0;0.0;0.0;0.0;0.0;27.0;65.0;0.0;0.0;65.0;59.0;355.0;0.0;227.0;0.0;0.0;0.0;0.0;0.0;0.0
d7ae63e5254df94dfdceef3c0014d084;121.0;28.0;54.0;36.0;0.0;0.0;0.0;73.0;118.0;63.0;0.0;0.0;91.0;113.0;0.0;0.0;212.0;40.0;0.0;70.0;264.0;225.0;0.0;73.0;76.0;0.0;0.0;95.0;0.0;0.0;123.0;53.0;403.0;400.0;0.0;0.0;0.0;0.0;98.0;248.0;202.0;0.0;49.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.0;34.0;0.0;97.0;0.0;0.0;0.0;224.0;86.0;118.0;141.0;97.0;0.0;0.0;0.0;95.0;0.0;0.0;146.0;104.0;0.0;152.0;82.0;30.0
14c6b68e6d8f274a995037a8a37695a9;0.0;66.0;0.0;0.0;69.0;0.0;0.0;294.0;15.0;37.0;363.0;0.0;0.0;0.0;101.0;0.0;0.0;0.0;0.0;192.0;0.0;0.0;0.0;0.0;0.0;255.0;41.0;0.0;222.0;0.0;0.0;59.0;0.0;0.0;117.0;0.0;114.0;239.0;0.0;0.0;0.0;0.0;0.0;843.0;47.0;35.0;0.0;248.0;261.0;0.0;0.0;0.0;0.0;187.0;71.0;0.0;0.0;0.0;0.0;0.0;44.0;0.0;0.0;61.0;52.0;372.0;0.0;250.0;0.0;0.0;0.0;0.0;0.0;51.0
1d4e7db293ac686e37c5860c785b0342;0.0;73.0;0.0;0.0;82.0;0.0;0.0;322.0;0.0;43.0;322.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;189.0;0.0;0.0;0.0;12.0;0.0;247.0;0.0;0.0;244.0;0.0;0.0;0.0;0.0;0.0;92.0;0.0;130.0;251.0;0.0;0.0;69.0;0.0;0.0;971.0;45.0;0.0;0.0;238.0;251.0;0.0;0.0;0.0;0.0;185.0;79.0;0.0;0.0;0.0;0.0;0.0;47.0;0.0;0.0;73.0;47.0;395.0;0.0;240.0;0.0;0.0;0.0;0.0;0.0;0.0
85f3e5bc226c34d07345055c152a55e1;152.0;0.0;112.0;0.0;0.0;134.0;0.0;109.0;67.0;78.0;39.0;0.0;0.0;152.0;0.0;0.0;100.0;140.0;0.0;86.0;215.0;202.0;0.0;97.0;95.0;0.0;0.0;35.0;0.0;133.0;0.0;0.0;234.0;137.0;0.0;0.0;118.0;0.0;302.0;75.0;102.0;0.0;74.0;132.0;0.0;108.0;0.0;142.0;0.0;0.0;62.0;0.0;0.0;0.0;0.0;0.0;269.0;156.0;54.0;0.0;83.0;0.0;0.0;0.0;0.0;64.0;0.0;0.0;197.0;92.0;0.0;54.0;115.0;0.0
bcb8dc0fc6f7b9cb594c7b7c88cd5c2f;700.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89.0;0.0;0.0;0.0;111.0;0.0;0.0;0.0;267.0;0.0;0.0;96.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;761.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180.0;320.0;0.0;567.0;0.0;0.0;113.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;455.0;0.0;0.0;0.0;73.0;0.0;140.0;0.0;549.0;0.0
8f8904ef702accdfae8f940c97a2bc83;0.0;75.0;42.0;0.0;74.0;0.0;0.0;230.0;0.0;38.0;347.0;98.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;158.0;0.0;78.0;0.0;0.0;0.0;231.0;0.0;0.0;191.0;0.0;0.0;0.0;0.0;0.0;88.0;0.0;99.0;206.0;0.0;0.0;0.0;0.0;0.0;770.0;49.0;0.0;0.0;194.0;242.0;0.0;0.0;0.0;0.0;192.0;64.0;0.0;0.0;59.0;0.0;0.0;38.0;0.0;0.0;53.0;57.0;363.0;0.0;207.0;0.0;0.0;0.0;0.0;0.0;0.0
