OTUID	Taxon	Confidence
23efa44ba1a5d248a11786b9b7d7a8ec	k__Bacteria; p__Tenericutes; c__Mollicutes; o__; f__; g__; s__	0.9999660066511089
fb6baf1027766c980b806997cdc6b046	k__Bacteria; p__Tenericutes; c__Mollicutes; o__; f__; g__; s__	0.9999887981781939
51f0327039f3cae616252a2c621bdcf0	k__Bacteria	0.999999961067367
ae85d1754c0be58a1efb2e677c7ff16a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__	0.999766192087345
67963833057849605c2d90d8acd7c00c	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum; s__	0.9998789644580861
46b1a7162a2d3f3a985ad02580db8619	k__Bacteria; p__Tenericutes; c__Mollicutes; o__; f__; g__; s__	0.9999792785580099
a5c353216c9e5e445ad5dbead00af900	k__Bacteria; p__Tenericutes; c__Mollicutes; o__; f__; g__; s__	0.9999777194979702
8bf424e63b3702eb44f674d34080479f	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__salivarius	0.8170446283613847
fd1766d016b5a7f99abfdf237af24922	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Streptobacillus; s__moniliformis	0.7320255121615964
13494ea182fde6463d37dacad2014588	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Streptobacillus; s__moniliformis	0.7231752492601778
7575edb5c02d0006d23104efb01a9c8b	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__ph2; s__	0.9999984398671791
04c839e42620a6d92777c919179172bf	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__variabile	0.8051351510083874
66961317146b72c7e2cf284649ad8b16	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae; g__Streptobacillus; s__moniliformis	0.7231752492601778
4d9fd51610aa1abf0c784b9cb2939dc2	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Gallibacterium; s__	0.9981564465421441
fe60d7a1c7a3a585a487e0f92c72d64a	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Gallibacterium; s__	0.9978168048130664
a1f2eb6a990584efda495e1a32fd1e84	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__agilis	0.9999507787518536
e0e0db8f1c1f72199109d8d687b83f0a	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__delbrueckii	0.9998357033228275
e22d8f8006735d24495bc54b8d666c9e	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__agilis	0.9999381637051526
b3a8638eb09c3d3b6cb20cee19d74fe9	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__agilis	0.9999402061719389
47db53f2820e1a6b5f1452d30ad4c952	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__variabile	0.7948620589665265
c8bc8ae3a9d363ac4d52c62dd0f28455	k__Bacteria; p__; c__; o__; f__; g__; s__	0.9178326066987906
3b0ce3dd47957c128d6f2ef37274916a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__ph2; s__	0.99999835428476
180d4c695225f265bdb6bad5f970a075	k__Bacteria; p__Actinobacteria; c__Actinobacteria	0.9999994555843622
dcec596c7b389a6e2551bdac97105879	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__	0.9996237261888588
46cb33411dbd9eca0021ac3355cbe2dd	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum; s__	0.9998459046376545
f7ba0fa1a7aa6d9e879420a3cf40a7cb	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__; g__; s__	0.7191451158784059
6a4bdcfbfacccac8444d51853d8f744a	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum; s__	0.9998796428805428
057bc97bb75be82acdcc0b783079f8ef	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__ph2; s__	0.9999984034564829
a70411ab6c04707ceed1f066697a0e89	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__salivarius	0.8176072478249844
cc163d6d420a861ef379e298d9fdf5b9	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__	0.8151946210752449
c56bccf36c91bfb82eef682ff53b6be6	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.9877653465930447
dbadb9d7027cfafba510569888045cc6	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cardiobacteriales; f__Cardiobacteriaceae; g__; s__	0.9796865322192009
379a38ff2538d3d4e321b12c6840a424	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum; s__	0.9998049700335657
a4ff1fdea65ea3e88478e3ff5a0a9e7c	k__Bacteria; p__; c__; o__; f__; g__; s__	0.8314809109649516
3407869b687f7582770938abeda14247	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Varibaculum; s__	0.999761142332846
b590b0b0822c666a28a53825727d55c3	k__Bacteria; p__; c__; o__; f__; g__; s__	0.9093879313055557
b13a0cfd12d265380060001ce8ca5eca	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__celatum	0.7963511420070555
210130d6effa73580526ff0e7d49f90c	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	0.8795234973774578
2f5dbde0db028bfde04ab2cb075266ad	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__salivarius	0.8208040213717607
34d03c6fc3ef838a841017b3ba516083	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__delbrueckii	0.9997260002582998
